,subjects,prices_2021Q4,prices_2022Q1,prices_2022Q2,prices_2022Q3,prices_2022Q4,prices_2023Q1,prices_2023Q2
0,Белгородская область,63940,67414,86395,89545,87179,88599,82902
1,Брянская область,44178,46044,64068,64105,64651,65186,72500
2,Владимирская область,55376,58035,68251,71570,72463,73911,81186
3,Воронежская область,63073,65202,71678,76543,77537,83888,80950
4,Ивановская область,48145,51001,61479,63302,63313,63822,68426
5,Калужская область,59129,62927,76206,86914,87956,89716,90992
6,Костромская область,53811,56402,62688,66360,68656,70742,67573
7,Курская область,59964,64621,69397,71336,73348,73125,72504
8,Липецкая область,56892,59601,72130,74845,75740,76621,81185
9,Московская область,108488,111181,124263,131650,133811,131712,137296
10,Орловская область,57048,59275,65806,69124,70444,71042,68697
11,Рязанская область,61378,63494,70565,78100,79238,83416,83077
12,Смоленская область,47463,48874,52175,54818,55859,56332,61492
13,Тамбовская область,45435,46982,68233,72034,71441,72875,71614
14,Тверская область,61058,70167,80688,81693,81419,84799,87320
15,Тульская область,72018,72309,79222,80789,82892,81804,90131
16,Ярославская область,66610,68258,68986,73440,74739,75918,83452
17,Город федерального значения Москва,152059,156513,161208,166044,169679,170162,161643
18,Республика Карелия,61887,65786,82186,87647,90199,91179,97132
19,Республика Коми,58645,60320,72058,76054,77624,82037,82615
20,Архангельская область,81055,82256,88034,89599,90479,92520,96780
21,Вологодская область,53108,56238,64184,68062,70657,72683,74893
22,Калининградская область,76301,80859,91226,102928,99435,102462,96148
23,Ленинградская область,86080,92159,103091,119990,132554,132877,140507
24,Мурманская область,64861,75801,84816,82591,82055,82767,81334
25,Новгородская область,49293,50390,27141,57488,59634,62793,66318
26,Псковская область,46950,48053,57581,61797,64263,64237,67626
27,Ненецкий автономный округ,73256,73031,76300,78516,80800,82023,83508
28,Город федерального значения Санкт-Петербург,162963,162963,162963,162963,165315,165315,165315
29,Республика Адыгея (Адыгея),73594,82889,89071,90597,93706,95075,87772
30,Республика Калмыкия,45682,46724,52273,52356,51753,53753,60526
31,Республика Крым,82734,83640,101605,103943,105571,110250,117852
32,Краснодарский край,81587,86148,156824,150641,149902,154768,152791
33,Астраханская область,62030,64496,74582,80468,79694,80085,85512
34,Волгоградская область,52371,54616,63437,67136,69434,71049,72937
35,Ростовская область,62774,67044,75003,83034,85175,85379,92834
36,Город федерального значения Севастополь,91274,92023,120866,122263,120688,120425,119158
37,Республика Дагестан,46708,48344,53045,53807,57989,60385,70745
38,Республика Ингушетия,42184,44575,46433,46739,45805,46291,46323
39,Кабардино-Балкарская Республика,46107,46686,48197,46610,50192,47753,42674
40,Карачаево-Черкесская Республика,48269,51330,56657,56271,58394,57594,58309
41,Республика Северная Осетия — Алания,45016,45713,48943,50723,52067,53543,62465
42,Чеченская Республика,51302,51465,57947,57994,56958,57906,62582
43,Ставропольский край,45285,47415,55802,57285,59516,60678,78129
44,Республика Башкортостан,72565,77625,84551,92603,97656,100144,99772
45,Республика Марий Эл,47967,49967,54606,56605,59290,61155,64706
46,Республика Мордовия,46394,47413,62694,64905,66484,67855,69340
47,Республика Татарстан (Татарстан),96108,101776,115859,121741,128213,133202,131875
48,Удмуртская Республика,61235,63487,67528,68979,70325,70696,81882
49,Чувашская Республика — Чувашия,55691,61213,69207,69875,72952,78799,85931
50,Пермский край,67661,69502,83664,88694,89466,89904,94385
51,Кировская область,54328,60391,67043,70824,71351,74119,78934
52,Нижегородская область,88852,92923,101102,108602,112071,112843,115724
53,Оренбургская область,42370,42612,48412,50035,52025,52828,63000
54,Пензенская область,57443,58648,66056,70934,72788,74296,72029
55,Самарская область,58422,61266,79521,85586,86520,87058,89952
56,Саратовская область,47087,21135,63190,65685,70574,71622,70579
57,Ульяновская область,55570,57685,62822,68597,71760,72317,77975
58,Курганская область,44400,45629,52242,25547,56897,57823,56456
59,Свердловская область,83394,87559,94074,99641,102190,103199,102342
60,Тюменская область,71264,71693,88261,88981,91249,89495,99678
61,Челябинская область,50289,52511,65984,73207,73773,75282,72467
62,Ханты-Мансийский автономный округ,74545,77490,88774,91822,96026,96665,103733
63,Ямало-Ненецкий автономный округ,77768,86125,98334,96549,101668,100915,124282
64,Республика Алтай,66437,72873,98849,107885,110509,110707,105109
65,Республика Тыва,95636,95967,103684,103534,105557,105888,113312
66,Республика Хакасия,57055,58216,72827,74183,77357,77371,81242
67,Алтайский край,62834,65395,75835,79975,79387,82336,86422
68,Красноярский край,72217,74369,80404,83271,85998,87811,90702
69,Иркутская область,80910,83021,89775,92484,95044,97793,96480
70,Кемеровская область,57926,59557,81092,84191,84140,86855,91204
71,Новосибирская область,68319,69846,89670,93582,96536,97564,106644
72,Омская область,60328,65713,72692,76219,80655,84696,88573
73,Томская область,69660,72613,82979,87794,88750,90280,93571
74,Республика Саха (Якутия),106441,111274,117115,122743,123556,122865,135005
75,Камчатский край,80171,111847,115912,114836,114836,121644,145800
76,Приморский край,116409,122177,142053,149072,150287,151404,151347
77,Хабаровский край,106887,110014,105566,109194,111303,110038,121623
78,Амурская область,100955,106830,109408,115845,118693,124193,128470
79,Магаданская область,95747,105723,144053,147459,147654,147654,147690
80,Сахалинская область,116554,116744,145369,136079,135927,137914,148368
81,Еврейская автономная область,97737,105513,116846,121732,123200,124206,74869
82,Чукотский автономный округ,97737,105513,116846,121732,123200,124206,155442
83,Республика Бурятия,70368,76711,78006,79623,83944,78025,86658
84,Забайкальский край,86101,88297,94131,120734,88737,88737,93457
