,subjects,salary_2021Q4,salary_2022Q1,salary_2022Q2,salary_2022Q3,salary_2022Q4,salary_2023Q1,salary_2023Q2
0,Белгородская область,45646,44522,46739,47055,51754,49141,50894
1,Брянская область,38884,36549,41071,39457,45764,43021,44696
2,Владимирская область,40715,40133,45283,44295,49761,46919,49184
3,Воронежская область,44728,42141,46401,45006,50559,48228,51750
4,Ивановская область,36393,32511,36520,34777,40749,37288,39741
5,Калужская область,52056,49521,52726,50841,57496,54344,57246
6,Костромская область,37676,36041,40004,38076,43782,41016,44334
7,Курская область,45306,40758,46197,44269,52479,47108,50940
8,Липецкая область,43662,45555,44955,44013,50182,48172,49426
9,Московская область,70533,66547,69409,67218,77539,74458,78723
10,Орловская область,39939,35913,40521,39280,46124,42330,44446
11,Рязанская область,44158,40956,45661,44233,49929,46966,50623
12,Смоленская область,39096,37425,40995,39743,45670,43588,46077
13,Тамбовская область,38505,33889,38182,37314,44706,40225,41562
14,Тверская область,43212,41006,45458,43121,49760,47424,50554
15,Тульская область,47942,46492,49227,47791,53752,52536,55033
16,Ярославская область,45387,42248,46692,45119,51992,48730,51938
17,Город федерального значения Москва,126941,121289,119287,112750,137510,124640,137296
18,Республика Карелия,53332,52390,57063,52552,59951,59346,61113
19,Республика Коми,62721,62312,69100,66777,73054,71206,73500
20,Ненецкий автономный округ,97365,96934,110359,102375,113099,108785,111520
21,Архангельская область,62108,57651,66102,60687,70267,65736,68523
22,Вологодская область,49724,52129,52610,50428,57120,56050,54908
23,Калининградская область,46585,43543,46431,45123,52609,48026,52402
24,Ленинградская область,56387,54940,58460,57385,63908,60962,65274
25,Мурманская область,84042,80790,89757,79803,97058,88441,96193
26,Новгородская область,44918,43082,45700,46382,52776,49400,49923
27,Псковская область,37843,35485,39565,37728,42185,40228,41963
28,Город федерального значения Санкт-Петербург,83389,80855,83742,79676,93582,87385,92316
29,Республика Адыгея (Адыгея),39990,36509,39856,38974,44986,41382,42330
30,Республика Калмыкия,36670,32377,37565,33978,39963,37610,38200
31,Республика Крым,41993,37315,41844,40504,46057,42453,44047
32,Краснодарский край,44110,43372,47989,47636,53891,50581,52350
33,Астраханская область,45635,41252,47118,45653,52455,47484,50752
34,Волгоградская область,41610,38997,42253,41353,47854,44920,46787
35,Ростовская область,42879,40183,43967,44064,50446,46921,49551
36,Город федерального значения Севастополь,43454,39075,41842,40360,48084,43799,45099
37,Республика Дагестан,36023,32022,36285,32731,40106,35830,36910
38,Республика Ингушетия,33182,31282,34818,29758,35136,33892,35484
39,Кабардино-Балкарская Республика,34071,31711,35826,31855,38919,36203,37214
40,Карачаево-Черкесская Республика,34370,32706,36104,34259,38099,36630,38034
41,Республика Северная Осетия — Алания,36503,32656,37296,33808,41021,37798,38969
42,Чеченская Республика,34667,31306,33319,33411,37024,35328,36199
43,Ставропольский край,41612,37274,40512,40860,46332,41798,44173
44,Республика Башкортостан,45366,42929,47802,49212,53026,50894,54070
45,Республика Марий Эл,40338,35258,40026,39667,45414,42060,44112
46,Республика Мордовия,37632,35831,39425,39067,43603,40887,44909
47,Республика Татарстан (Татарстан),50770,47762,52286,50283,57547,55171,58907
48,Удмуртская Республика,41693,40628,45286,43663,48926,47499,50524
49,Чувашская Республика — Чувашия,40037,36589,41231,39932,46561,43972,47122
50,Пермский край,51779,47180,51514,49425,59014,52544,58113
51,Кировская область,38591,36251,41042,39892,44559,43384,45427
52,Нижегородская область,46226,42626,45621,44735,52472,47930,52889
53,Оренбургская область,41071,38773,43682,43350,48123,47778,50223
54,Пензенская область,38366,37413,40921,40831,45778,42714,46282
55,Самарская область,47281,43524,46842,47157,52840,49704,54052
56,Саратовская область,40768,38398,42421,41582,46851,44567,47913
57,Ульяновская область,39290,36720,41084,39954,46354,43704,46804
58,Курганская область,38205,35313,40809,39076,46959,43297,46092
59,Свердловская область,53455,50601,54621,53565,62017,57854,61464
60,Ханты-Мансийский автономный округ,90955,86571,99023,98917,104901,96532,96132
61,Ямало-Ненецкий автономный округ,116832,122227,141378,126654,133772,134265,152128
62,Тюменская область,60060,56026,60101,60944,67671,63966,65588
63,Челябинская область,48070,45932,50267,47913,55882,52000,57252
64,Республика Алтай,42944,38955,45258,40361,49200,46422,48418
65,Республика Тыва,53611,46309,55631,44116,59225,52830,53817
66,Республика Хакасия,52148,48901,54630,51473,60908,56452,58270
67,Алтайский край,36546,33122,37128,37502,44553,41130,42920
68,Красноярский край,66252,66666,70541,68177,78086,72614,79971
69,Иркутская область,60267,58215,63852,61508,70321,66900,68100
70,Кемеровская область,53584,52217,56438,55037,62681,60217,60976
71,Новосибирская область,53327,47647,51840,50455,58017,55207,58391
72,Омская область,44825,41610,46393,44759,53456,48537,52272
73,Томская область,54368,52111,57235,54568,60879,56531,64528
74,Республика Бурятия,50229,46661,54057,49830,61900,56155,57696
75,Республика Саха (Якутия),95566,86013,97826,87394,110254,97950,101568
76,Забайкальский край,57548,51541,60083,56304,69006,60814,66295
77,Камчатский край,100418,86874,119872,94223,110239,98775,116131
78,Приморский край,62019,56839,62200,60099,70526,62797,65748
79,Хабаровский край,64977,58847,64034,62124,72145,65869,67966
80,Амурская область,66747,60686,66200,63598,73207,64373,67399
81,Магаданская область,122713,106042,120835,110406,138678,116573,125054
82,Сахалинская область,100538,99148,102373,102516,108274,110609,106353
83,Еврейская автономная область,55911,49256,57104,55112,62729,57919,63200
84,Чукотский автономный округ,143043,128520,143205,136051,157032,143937,160859
